guess,mean,med,std
soare,219.752590673575,79.0,304.904340934523
saice,232.775474956822,80.0,318.851534709493
saine,230.170984455959,81.0,320.165555372092
arise,254.448618307427,91.0,355.745773329987
raise,236.614421416235,96.0,331.33814475207
saner,271.3298791019,99.0,372.044291223091
raine,253.772020725389,102.0,349.268095970144
santo,353.492659758204,105.0,464.292267040228
satin,347.203367875648,105.0,465.32737040432
snare,267.509067357513,105.0,370.769887716046
sonar,299.476252158895,105.0,399.02424816507
rinse,313.438255613126,106.0,422.686455168046
soler,275.245682210708,106.0,374.416647609676
canoe,278.323834196891,107.0,370.563769385441
toise,260.559153713299,107.0,354.141290942938
arose,264.182210708117,108.0,372.126784119045
cause,292.018134715026,108.0,387.210756391626
anise,299.890759930915,109.0,405.550031727577
aline,296.017271157168,110.0,400.888713226905
snail,342.888601036269,110.0,465.22232092548
irate,267.161053540587,112.0,374.254155870874
slate,252.729274611399,112.0,351.128023181211
snarl,308.547495682211,112.0,419.131485926323
toner,334.225820379965,112.0,457.060310445849
trail,296.403713298791,112.0,412.986830872759
trine,298.831606217617,112.0,415.290925805959
shone,317.765112262522,113.0,412.182005040343
aerie,320.979706390328,114.0,409.340507391929
alone,281.787564766839,114.0,375.552191563672
scone,316.882124352332,114.0,410.039180986187
slane,252.690846286701,114.0,353.68861892336
stair,309.241364421416,114.0,422.04089658695
noise,283.705094991364,115.0,369.507524439839
cosie,280.962435233161,116.0,363.392178614411
crine,311.820811744387,116.0,418.516292514596
crone,307.804404145078,116.0,411.859266573225
riant,314.360103626943,116.0,428.765874618031
tease,335.930051813471,116.0,438.839204462131
torse,290.354058721934,116.0,397.35046234155
triol,321.562176165803,116.0,442.958524035632
trone,291.294041450777,116.0,405.270320024515
cline,328.499136442142,117.0,439.303545115302
crane,282.423143350604,117.0,394.153870974408
crise,292.483592400691,117.0,401.87436673931
coate,248.709412780656,118.0,335.910093799732
loirs,339.321675302245,118.0,447.999036442144
reast,303.906735751295,118.0,419.194122392409
salet,251.218480138169,118.0,340.98206627978
sloan,333.628238341969,118.0,454.329752898223
slier,256.325561312608,119.0,354.871257966584
snore,287.006476683938,119.0,386.088457116105
train,325.05829015544,119.0,450.09256985514
litre,296.135146804836,120.0,399.795277361908
raile,241.203799654577,120.0,334.63271881858
rance,310.413212435233,120.0,417.227030074147
sauce,267.209844559586,120.0,350.449525588371
ainee,333.665371329879,121.0,414.296779959214
dance,345.81390328152,121.0,445.792236662796
reist,318.995250431779,121.0,431.864934163128
sarin,299.151986183074,121.0,403.56639075849
slade,290.626079447323,121.0,392.80925425837
brose,337.665371329879,122.0,441.065167438744
irone,299.695164075993,122.0,395.132030199752
nacre,328.279792746114,122.0,436.384971171664
plane,313.979706390328,122.0,420.044294715683
salue,265.629533678756,122.0,348.43026586165
slice,285.325561312608,122.0,390.862628272426
